Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
128930,544021,-1052561,-108708,-573590,1944455,-2370326,-2293549,-5154328,-5402139,-3272488,-6232603,-3813275,-4000864,-1749979,-3966519,-4934043
128931,541985,-1050236,-111510,-576245,1939766,-2531791,-2298143,-5155691,-5398016,-3273295,-6231364,-3810001,-3999965,-1749956,-3967921,-4959637
128932,543578,-1054214,-111890,-577233,1935840,-2927296,-2301802,-5150195,-5393630,-3272556,-6225359,-3812115,-4000766,-1744235,-3967961,-5290814
128933,545662,-1057654,-109233,-574512,1939685,-2804035,-2298039,-5148736,-5398251,-3272392,-6226684,-3816338,-4002554,-1744845,-3967656,-5305159
128934,544286,-1054742,-109057,-573429,1943437,-2404362,-2294461,-5154529,-5403974,-3274078,-6233711,-3815415,-4002910,-1751929,-3968894,-4978057
128935,542120,-1051542,-111804,-575818,1939741,-2470870,-2298062,-5157106,-5401026,-3275172,-6234097,-3811793,-4002018,-1753433,-3970442,-4924647
128936,543118,-1054677,-112859,-577345,1934909,-2884617,-2302626,-5152226,-5395772,-3274593,-6228144,-3812969,-4002471,-1747948,-3970716,-5243304
128937,545514,-1058891,-110441,-575065,1937730,-2868309,-2299839,-5149338,-5398982,-3274231,-6227899,-3817545,-4004408,-1746961,-3970355,-5342018
128938,544573,-1056756,-109592,-573281,1942357,-2453708,-2295372,-5154508,-5405503,-3275771,-6234896,-3817569,-4005109,-1753739,-3971291,-5030641
128939,541888,-1053051,-112327,-575463,1939728,-2421472,-2297943,-5158413,-5403987,-3277209,-6236869,-3813835,-4004319,-1756722,-3972943,-4901368
128940,541997,-1055185,-114092,-577562,1934158,-2828451,-2303256,-5154541,-5398251,-3276911,-6231259,-3813991,-4004412,-1751690,-3973480,-5188792
128941,544542,-1060002,-112151,-575853,1935667,-2920264,-2301736,-5150470,-5399916,-3276359,-6229442,-3818646,-4006388,-1749142,-3973096,-5365429
128942,544003,-1059076,-110894,-573682,1940710,-2516263,-2296876,-5154899,-5406840,-3277536,-6235997,-3819705,-4007352,-1755145,-3973670,-5089498
128943,541264,-1054864,-113224,-575292,1939501,-2385797,-2298064,-5159697,-5406832,-3279123,-6239428,-3816006,-4006662,-1759359,-3975252,-4891181
128944,540688,-1055693,-115369,-577653,1933730,-2760188,-2303548,-5156754,-5400947,-3279093,-6234496,-3815061,-4006410,-1755136,-3975997,-5129492
